Descoberto - restriction trigger,,Delta Descoberto - restriction trigger,,Descoberto - transfer trigger,,Descoberto - annual contingency fund contribution,,Descoberto - infrastructure trigger,,,,,Sistema Corumbá - 1a etapa,Sistema Corumbá - 2a etapa,Sistema Corumbá - 3a etapa,Expansão - barragem Descoberto,Descoberto - infrastructure buffer
0.532451029,,0.038336924,,0.259892321,,0.058982305,,0.652019313,,,,,0.806858282,0.659245045,0.234376544,0.701143738,0.660355841
0.598146128,,0.002539328,,0.983197126,,0.058949299,,0.637761785,,,,,0.607307059,0.001472373,0.412131338,0.868117973,0.638986547
0.412414748,,0.046936359,,0.300653553,,0.052534321,,0.671114648,,,,,0.623277332,0.2730671,0.15286999,0.96012598,0.491604472
0.893545079,,0.001,,0.794721302,,0.037918477,,0.001,,,,,0.978310437,0.02263337,0.161990801,0.449226408,0.43100399
0.411701374,,0.001019219,,0.309464743,,0.039004003,,0.10509012,,,,,0.991279516,0.275750116,0.994789549,0.96062065,0.452328333
0.40508846,,0.001000158,,0.551471201,,0.063074072,,0.973651445,,,,,0.703542587,0.156655614,0.574093115,0.826760388,0.576975793
0.783271798,,0.027473357,,0.050964352,,0.062966411,,0.949948132,,,,,0.975221,0.011025829,0.046023684,0.975547932,0.663920746
0.99379811,,0.232378629,,0.929814142,,0.058516592,,0.383452105,,,,,0.913140204,0.204125537,0.002081884,0.81422705,0.682253388
