# Descoberto - restriction trigger,TortoSM - restriction trigger,Delta Descoberto - restriction trigger,Delta TortoSM - restriction trigger ,Descoberto - transfer trigger,TortoSM - transfer trigger,Descoberto - annual contingency fund contribution,TortoSM - annual contingency fund contribution,Descoberto - infrastructure trigger,TortoSM - infrastructure trigger,Sistema Paranoá - 1a etapa,Sistema Paranoá - 2a etapa,Sistema Paranoá - 3a etapa,Sistema Corumbá - 1a etapa,Sistema Corumbá - 2a etapa,Sistema Corumbá - 3a etapa,Expansão - barragem Descoberto,Descoberto - infrastructure buffer,TortoSM - infrastructure buffer
0.532451029,0.708384097,0.038336924,0.600782955,0.259892321,0.265535416,0.058982305,0.001742911,0.652019313,0.957507174,0.182882945,0.9738682,0.303377022,0.806858282,0.659245045,0.234376544,0.701143738,0.660355841,15.33852521
0.598146128,0.725235532,0.002539328,0.785382742,0.983197126,0.127662577,0.058949299,0.00307282,0.637761785,0.982125242,0.470306536,0.815964048,0.909055783,0.607307059,0.001472373,0.412131338,0.868117973,0.638986547,15.4998566
0.412414748,0.651628884,0.046936359,0.256688361,0.300653553,0.714902054,0.052534321,0.000691869,0.671114648,0.491740106,0.946815734,0.127322143,0.839947835,0.623277332,0.2730671,0.15286999,0.96012598,0.491604472,3.029436803
0.893545079,0.772140897,0.001,0.001,0.794721302,0.001514458,0.037918477,0,0.001,0.159857731,0.423180466,0.519096307,0.029789419,0.978310437,0.02263337,0.161990801,0.449226408,0.43100399,10.41099954
0.411701374,0.345440776,0.001019219,0.039461599,0.309464743,0.024473865,0.039004003,0.001054208,0.10509012,0.001031626,0.574463786,0.246848934,0.00587158,0.991279516,0.275750116,0.994789549,0.96062065,0.452328333,8.220711841
0.40508846,0.370856486,0.001000158,0.974346853,0.551471201,0.773204125,0.063074072,0.000468476,0.973651445,0.009109442,0.629443131,0.985983923,0.015262762,0.703542587,0.156655614,0.574093115,0.826760388,0.576975793,6.00504543
0.783271798,0.476021672,0.027473357,0.052569463,0.050964352,0.150118108,0.062966411,2.00124E-06,0.949948132,0.938589847,0.92972005,0.225782774,0.368059013,0.975221,0.011025829,0.046023684,0.975547932,0.663920746,0.280525556
0.99379811,0.975720599,0.232378629,0.998158682,0.929814142,0.960271558,0.058516592,0,0.383452105,0.024112996,0.482423435,0.998920892,4.55234E-06,0.913140204,0.204125537,0.002081884,0.81422705,0.682253388,5.446923911
